,0,coef
0,price,8.378954502884188e-05
1,product_photos_qty,-0.015913837742647714
2,vol,-5.290061795124801e-07
3,delivery_est_delta,0.0022417362142114912
4,est_delta,-0.0009435938593071164
5,delivery_delta,-0.0014882004853914493
6,freight_value,0.002534210696969522
7,product_name_lenght,0.003179887073095959
8,product_description_lenght,6.994135181314684e-06
9,type_credit_card,-0.12116424384351926
10,type_debit_card,-0.1481784816945188
11,type_not_defined,0.0
12,type_voucher,-0.1914442401304572
13,payment_sequential,0.4501005474618813
14,payment_installments,0.004295097561682541
15,payment_value,-0.00014732178192155963
16,Category__pet_shop,-0.24058731594878324
17,Category__portateis_casa_forno_e_cafe,0.0
18,Category__agro_industria_e_comercio,0.07598913601565346
19,Category__alimentos,-0.16214021327248682
20,Category__alimentos_bebidas,0.0
21,Category__artes,-0.6571206470478071
22,Category__artes_e_artesanato,0.0
23,Category__artigos_de_festas,0.0
24,Category__artigos_de_natal,0.0
25,Category__audio,-0.5315687466691149
26,Category__automotivo,-0.28716132705895214
27,Category__bebes,-0.4229733749817209
28,Category__bebidas,-0.558023218651945
29,Category__beleza_saude,-0.27095397788214354
30,Category__brinquedos,-0.3219038678289353
31,Category__cama_mesa_banho,-0.4264031076198722
32,Category__casa_conforto,-0.21719003037121215
33,Category__casa_conforto_2,-0.002026102837184402
34,Category__casa_construcao,-0.5666917103233944
35,Category__cds_dvds_musicais,0.0
36,Category__cine_foto,0.0
37,Category__climatizacao,-0.047873161289829755
38,Category__consoles_games,-0.5045347649199211
39,Category__construcao_ferramentas_construcao,-0.34769803424952683
40,Category__construcao_ferramentas_ferramentas,0.0
41,Category__construcao_ferramentas_iluminacao,-0.2732578525585535
42,Category__construcao_ferramentas_jardim,-0.2871260925448543
43,Category__construcao_ferramentas_seguranca,-0.3192452980141563
44,Category__cool_stuff,-0.2728613483171021
45,Category__dvds_blu_ray,0.0
46,Category__eletrodomesticos,-0.4194058285348938
47,Category__eletrodomesticos_2,0.0
48,Category__eletronicos,-0.39442833531062177
49,Category__eletroportateis,-0.3096226277532417
50,Category__esporte_lazer,-0.3282236328232493
51,Category__fashion_bolsas_e_acessorios,-0.2941423639189395
52,Category__fashion_calcados,0.0
53,Category__fashion_esporte,0.0
54,Category__fashion_roupa_feminina,0.0
55,Category__fashion_roupa_infanto_juvenil,0.0
56,Category__fashion_roupa_masculina,0.0
57,Category__fashion_underwear_e_moda_praia,-0.2969041413857827
58,Category__ferramentas_jardim,-0.16149570298562219
59,Category__flores,0.0
60,Category__fraldas_higiene,0.0
61,Category__industria_comercio_e_negocios,-0.16675723275282342
62,Category__informatica_acessorios,-0.36436880309108977
63,Category__instrumentos_musicais,-0.53799300020068
64,Category__la_cuisine,0.0
65,Category__livros_importados,0.0
66,Category__livros_interesse_geral,0.0
67,Category__livros_tecnicos,0.0
68,Category__malas_acessorios,0.0
69,Category__market_place,-0.17991251599084956
70,Category__moveis_colchao_e_estofado,0.0
71,Category__moveis_cozinha_area_de_servico_jantar_e_jardim,-0.46641754306791317
72,Category__moveis_decoracao,-0.35226504739503073
73,Category__moveis_escritorio,-0.24524812026683904
74,Category__moveis_quarto,-0.010101944512002105
75,Category__moveis_sala,-0.07258375386574643
76,Category__musica,0.0
77,Category__papelaria,-0.29810498160634435
78,Category__pc_gamer,0.0
79,Category__pcs,0.0
80,Category__perfumaria,-0.18791248263691374
81,Category__portateis_cozinha_e_preparadores_de_alimentos,0.0
82,Category__relogios_presentes,-0.3435978027360127
83,Category__seguros_e_servicos,0.0
84,Category__sinalizacao_e_seguranca,-0.33611642451887663
85,Category__tablets_impressao_imagem,0.0
86,Category__telefonia,-0.3007273722927339
87,Category__telefonia_fixa,0.0
88,Category__utilidades_domesticas,-0.40819253963532104
